Date,Close_Price,Signal_Date,Call,Stop_Loss,Target_1,Target_2,Target_3,Target_4,Status
2021-01-01,388.1,2020-12-30,384.7,389.77,381.57,379.04,376.5,372.9,Target 1 Reached
2021-01-14,454.35,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Awaiting Targets, 
2021-01-15,438.55,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Target 1 Reached,SELL
2021-01-18,431.55,2021-01-14,450.59,466.14,440.97,433.2,425.43,414.36,Target 2 Reached,SELL
2021-01-20,947.7,2021-01-19,942.55,956.47,933.93,926.97,920.01,910.1,Target 1 Reached,SELL
2021-01-21,445.8,2021-01-21,448.29,440.09,454.72,459.24,464.37,469.35,Awaiting Targets, 
2021-01-25,437.25,2021-01-21,448.29,440.09,454.72,459.24,464.37,469.35,Stop Loss has occured,BUY
2021-01-27,446.45,2021-01-27,444.11,448.43,441.44,439.28,437.12,434.05,Awaiting Targets, 
2021-01-28,431.9,2021-01-27,444.11,448.43,441.44,439.28,437.12,434.05,Final Target Reached,SELL
2021-02-03,433.5,2021-02-03,433.46,423.5,441.28,446.78,453.01,459.06,Awaiting Targets, 
2021-02-05,425.55,2021-02-03,433.46,423.5,441.28,446.78,453.01,459.06,Stop Loss has occured,BUY
